#Test,Branches Taken,Execution Time
1,213,0.297991037369
2,122,0.269732952118
3,254,0.275697946548
4,63,0.26344203949
5,409,0.287528991699
6,246,0.275969028473
7,19,0.26681804657
8,229,0.268195867538
9,69,0.268801927567
10,111,0.26576089859
11,87,0.26336812973
12,87,0.265399932861
13,303,0.279090881348
14,18,0.26126909256
15,16,0.261878013611
16,179,0.266295194626
17,553,0.345047950745
18,1326,0.359600067139
19,564,0.339629888535
20,408,0.323047876358
21,449,0.323068857193
22,4259,0.389243125916
23,110,0.319039821625
24,3081,0.34427189827
25,481,0.321207046509
26,286,0.760225057602
27,91,0.324792146683
28,1750,0.224408149719
29,3219,0.22435593605
30,3615,0.222650051117
31,810,0.222979784012
32,3843,0.22576212883
33,133155,0.394042015076
34,385187,0.627413034439
35,23877,0.306357860565
36,2280,0.267066001892
37,144090,0.431596040726
38,841,0.265867948532
39,4318,0.267926931381
40,1000014,0.982017993927
41,6099,0.278090953827
42,10152,0.273119926453
43,69472,0.327198982239
44,325,0.264164924622
45,31771,0.314630031586
46,5272,0.268326044083
47,3481,0.298007011414
48,123965,0.393584012985
49,311336,0.649258136749
50,1000034,1.09898614883
51,436050,0.800484895706
52,1000024,1.12019491196
53,1000027,1.12624001503
54,58099,0.384716033936
55,84061,0.420276880264
56,1000018,1.16134190559
57,1000019,1.11995697021
58,99361,0.433015823364
59,1000032,1.14026117325
60,1000014,1.14219784737
61,476414,0.824032783508
62,1000023,1.19386911392
63,1000040,1.15147686005
64,496050,0.834433078766
65,1000037,1.33785891533
66,1000047,1.24879908562
67,1000036,1.20917606354
68,1000027,1.32025313377
69,1000063,1.26261615753
70,1000033,1.28092813492
71,1000030,1.27496695518
72,1000038,1.70812416077
73,1000040,1.33039999008
74,1000039,1.38286995888
75,1000047,1.39614391327
76,1000039,1.35394287109
77,1000055,1.30393195152
78,1000049,1.31406402588
79,1000039,1.35268306732
80,1000041,1.31035518646
81,1000036,1.53943705559
82,1000034,1.41879892349
83,1000052,1.41492605209
84,1000049,1.41976284981
85,1000039,1.4918692112
86,1000035,1.56963419914
87,1000060,1.47811889648
88,1000061,1.42974019051
89,1000048,1.42947602272
90,1000052,1.4828441143
91,1000029,1.3755300045
92,1000049,1.54507184029
93,1000060,1.57014918327
94,1000050,1.57014393806
95,1000044,1.61290502548
96,1000059,1.55421209335
97,1000053,2.16730308533
98,1000058,1.62515711784
99,1000038,1.56053185463
100,1000043,1.55072116852
