#Test,Branches Taken,Execution Time
1,176,0.236943006516
2,52,0.297468900681
3,132,0.186326026917
4,45,0.157325029373
5,315,0.172484874725
6,172,0.161345005035
7,22,0.155549049377
8,57,0.1559278965
9,39,0.155629873276
10,92,0.158149957657
11,45,0.160658836365
12,93,0.159621953964
13,216,0.16476392746
14,17,0.154184103012
15,16,0.178364992142
16,87,0.156105995178
17,284,0.203544139862
18,1296,0.219400882721
19,411,0.21378993988
20,230,0.193389892578
21,299,0.203425168991
22,3125,0.244431018829
23,68,0.196405887604
24,1384,0.202852964401
25,260,0.197914838791
26,172,0.19730091095
27,67,0.193237066269
28,1014,0.198641061783
29,3278,0.210663080215
30,1676,0.198952198029
31,336,0.213160037994
32,985,0.196640014648
33,74236,0.392158985138
34,192689,0.510412931442
35,16716,0.260834932327
36,1285,0.247641086578
37,92924,0.385514974594
38,584,0.237799882889
39,2146,0.240095853806
40,178256,0.516910076141
41,1430,0.242727041245
42,2136,0.243273973465
43,10163,0.263349056244
44,187,0.248281955719
45,5343,0.258342027664
46,1404,0.238151073456
47,1146,0.23998093605
48,64461,0.336226940155
49,87778,0.431413888931
50,1000028,1.62214303017
51,127175,0.514755964279
52,1000017,1.64809298515
53,1000024,1.6319899559
54,8961,0.306053876877
55,43652,0.381670951843
56,294497,0.763980150223
57,797369,1.51877713203
58,28849,0.341979980469
59,840732,1.5639398098
60,1000012,1.63906311989
61,91750,0.42266201973
62,1000025,1.71508312225
63,1000025,1.68526482582
64,79723,0.462206125259
65,1000022,1.9286711216
66,1000047,2.06487703323
67,1000040,1.98959302902
68,1000025,1.82820296288
69,1000040,1.88969612122
70,663332,1.50613713264
71,851352,1.79029607773
72,1000027,1.83709406853
73,1000041,2.06784677505
74,1000039,1.97974014282
75,1000041,1.786850214
76,1000043,1.86435103416
77,1000045,2.0850110054
78,1000054,1.93686294556
79,1000047,2.04484200478
80,1000030,1.92624497414
81,1000044,2.11873579025
82,1000027,2.0252430439
83,1000049,1.9881670475
84,305555,0.950375080109
85,1000042,2.08138298988
86,1000035,1.95085692406
87,1000053,1.91269993782
88,1000046,2.03656291962
89,1000031,1.90914011002
90,1000046,2.00031304359
91,1000027,2.07822799683
92,436984,1.20366811752
93,1000055,2.09592700005
94,1000055,2.00848698616
95,1000047,2.13547992706
96,1000061,2.00121212006
97,1000054,2.37533998489
98,1000040,2.33524799347
99,1000033,2.12971496582
100,1000038,2.07823801041
